weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Kormilovka,RU,55.0,74.1,50.0,100,58,4.47,fog,0,0
1,New Norfolk,AU,-42.78,147.06,50.0,53,75,11.41,broken clouds,0,0
2,Omsukchan,RU,62.53,155.8,36.27,88,100,7.7,overcast clouds,0,0
3,Gamba,GA,-2.65,10.0,72.73,85,100,6.73,overcast clouds,0,0
4,Luwuk,ID,-0.95,122.79,83.66,58,100,4.41,overcast clouds,0,0
5,Glace Bay,CA,46.2,-59.96,68.0,68,75,5.82,broken clouds,0,0
6,Jamestown,US,42.1,-79.24,73.99,73,1,4.03,clear sky,0,0
7,Scarborough,GB,54.28,-0.4,57.0,88,100,3.0,light rain,0,0
8,Las Vegas,US,36.17,-115.14,100.99,22,1,10.29,clear sky,0,0
9,Nelson Bay,AU,-32.72,152.15,59.0,47,0,17.22,clear sky,0,0
10,Mar Del Plata,AR,-38.0,-57.56,51.01,93,100,13.87,overcast clouds,0,0
11,San Cristobal,VE,7.77,-72.22,66.54,93,60,3.4,light rain,0,0
12,Torbay,CA,47.67,-52.73,61.0,67,5,13.87,clear sky,0,0
13,Hobart,AU,-42.88,147.33,50.0,53,75,11.41,broken clouds,0,0
14,Bluff,NZ,-46.6,168.33,59.0,72,31,5.01,scattered clouds,0,0
15,Namibe,AO,-15.2,12.15,64.26,90,1,2.46,clear sky,0,0
16,Airai,TL,-8.93,125.41,71.42,37,0,6.31,clear sky,0,0
17,Punta Arenas,CL,-53.15,-70.92,33.8,80,13,20.8,few clouds,0,0
18,Ostrovnoy,RU,68.05,39.51,55.69,90,12,18.03,few clouds,0,0
19,Souillac,MU,-20.52,57.52,71.6,73,40,18.34,scattered clouds,0,0
20,Shieli,KZ,44.17,66.75,76.33,28,0,7.76,clear sky,0,0
21,Kahului,US,20.89,-156.47,91.4,49,40,28.86,scattered clouds,0,0
22,Hue,VN,16.47,107.6,84.2,74,40,4.7,scattered clouds,0,0
23,Port Blair,IN,11.67,92.75,82.47,80,58,9.17,broken clouds,0,0
24,Vagur,FO,61.47,-6.81,49.46,77,0,12.3,clear sky,0,0
25,Tuktoyaktuk,CA,69.45,-133.04,69.8,56,75,12.75,broken clouds,0,0
26,Bredasdorp,ZA,-34.53,20.04,55.4,93,100,2.24,overcast clouds,0,0
27,Kaitangata,NZ,-46.28,169.85,53.01,91,81,11.01,broken clouds,0,0
