hotel,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Luwuk,ID,83.66,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
20,Shieli,KZ,76.33,clear sky,44.17,66.75,Gostinitsa Aybek Shieli
21,Kahului,US,91.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
22,Hue,VN,84.2,scattered clouds,16.47,107.6,Saigon Morin Hotel
23,Port Blair,IN,82.47,broken clouds,11.67,92.75,Fortune Resort Bay Island
32,Vanimo,PG,78.57,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
35,Butaritari,KI,83.34,overcast clouds,3.07,172.79,Isles Sunset Lodge
36,Portland,US,84.0,few clouds,45.52,-122.68,Portland Marriott City Center
38,Langsa,ID,78.3,clear sky,4.47,97.97,OYO 2964 Hotel Ridho
43,Gashua,NG,77.18,overcast clouds,12.87,11.05,Forte Oil - Old Lorry Park
44,Bandarbeyla,SO,75.15,clear sky,9.49,50.81,REER XOOSHLE GROUP
46,Simpang,ID,78.24,light rain,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
48,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
49,Miri,MY,78.8,few clouds,4.41,114.01,"Mega Hotel, Miri"
50,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
52,Hithadhoo,MV,82.71,light rain,-0.6,73.08,Scoop Guest House
56,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
57,Zacualpan,MX,77.0,broken clouds,21.25,-105.17,La Colorada B&B
60,Hasaki,JP,84.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
62,Aswan,EG,82.72,clear sky,24.09,32.91,Nuba Nile
65,Benghazi,LY,78.26,clear sky,32.12,20.07,Tibesti Hotel
66,Greenfield,US,80.6,broken clouds,42.96,-88.01,Brewtown Eatery Bar & Grill
70,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
73,Manaus,BR,80.6,clear sky,-3.1,-60.02,Hotel do Largo
75,Tarpon Springs,US,82.0,broken clouds,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
76,Atuona,PF,78.35,light rain,-9.8,-139.03,Villa Enata
79,Goderich,CA,79.0,clear sky,43.75,-81.72,Harmony Inn
83,Kapaa,US,87.8,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
85,Turkistan,KZ,77.61,broken clouds,43.0,68.0,
98,Bonthe,SL,75.92,heavy intensity rain,7.53,-12.51,Bonthe Holiday Village
99,Tabas,IR,82.4,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
102,Banda Aceh,ID,80.87,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
103,Naze,JP,89.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
105,Mayo,US,82.4,clear sky,38.89,-76.51,Resorts Resource Group International
112,Kieta,PG,82.53,overcast clouds,-6.22,155.63,
113,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
116,Tura,IN,75.92,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
117,Puerto Escondido,MX,78.8,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
119,Soto La Marina,MX,82.99,clear sky,23.77,-98.22,Hotel Chicago
126,Kirakira,SB,84.27,light rain,-10.45,161.92,SanBiz Lodge
127,Meulaboh,ID,79.27,scattered clouds,4.14,96.13,Kost Pria
134,Nueva Gerona,CU,85.59,scattered clouds,21.88,-82.8,Casa de la Alegria
135,Lae,PG,82.11,overcast clouds,-6.72,146.98,Phils Hotel
136,Dingle,PH,83.64,clear sky,11.0,122.67,Camp Pasica
140,Lufilufi,WS,91.4,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
144,Hilo,US,84.2,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
149,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
151,Kavieng,PG,76.19,heavy intensity rain,-2.57,150.8,Nusa Island Retreat
152,Anori,BR,78.89,clear sky,-3.77,-61.64,Novo Hotel 05 Irmaos
153,Mitsamiouli,KM,75.22,overcast clouds,-11.38,43.28,Foyer ADM
154,Kousseri,CM,77.0,few clouds,12.08,15.03,Résidence le Palmier
155,Rantepao,ID,77.04,overcast clouds,-2.97,119.9,Hotel Luta Resort
158,Bilma,NE,91.18,overcast clouds,18.69,12.92,Expeditions Ténére voyages
160,Tual,ID,79.2,clear sky,-5.67,132.75,Grand Vilia Hotel
162,Hami,CN,80.98,overcast clouds,42.8,93.45,Laoyutang Resort
163,Jati,PK,82.67,overcast clouds,24.35,68.27,
165,Ternate,ID,82.15,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
167,Najran,SA,84.2,overcast clouds,17.49,44.13,محمد هادي ال فطيح
169,Santa Isabel Do Rio Negro,BR,76.21,clear sky,-0.41,-65.02,Hotel GSA
173,Port Hedland,AU,78.8,clear sky,-20.32,118.57,The Esplanade Hotel
179,Boa Vista,BR,75.2,broken clouds,2.82,-60.67,Aipana Plaza Hotel
180,Kaya,BF,78.51,overcast clouds,13.09,-1.08,Maison de l'appelé
192,Avera,US,75.2,scattered clouds,33.19,-82.53,
195,Atar,MR,92.19,broken clouds,20.52,-13.05,Oumou Elghoura
197,Ixtapa,MX,87.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
200,Xihua,CN,79.43,overcast clouds,33.78,114.52,Home Inn
204,Cockburn Town,TC,84.16,overcast clouds,21.46,-71.14,Osprey Beach Hotel
205,Bengkulu,ID,79.07,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
210,Buala,SB,84.09,light rain,-8.14,159.59,Maringe Lagoon Lodge
213,Washington,US,87.01,clear sky,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
214,La Romana,DO,80.6,broken clouds,18.43,-68.97,Casa de Campo Resort and Villas
215,Darab,IR,75.15,overcast clouds,28.75,54.54,Naghshe shapoor Hotel
216,Arawa,PG,83.89,overcast clouds,-6.21,155.54,Coastline Guest House
217,Bontang,ID,81.21,clear sky,0.13,117.5,Okra Leaf Guest House Syariah
219,Copperas Cove,US,93.2,scattered clouds,31.12,-97.9,Super 8 by Wyndham Copperas Cove
229,Bethel,US,75.99,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
230,Merauke,ID,80.2,broken clouds,-8.47,140.33,
236,Dryden,CA,75.2,overcast clouds,49.78,-92.75,Holiday Inn Express Dryden
238,Popondetta,PG,85.41,overcast clouds,-8.75,148.25,Timos Transit House
244,Salalah,OM,77.0,heavy intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
245,Cabo San Lucas,MX,89.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
247,Makakilo City,US,89.6,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
251,Santa Rosa,PH,87.01,overcast clouds,14.31,121.11,Amethyst Econotel
253,Katsuura,JP,84.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
256,Yining,CN,88.41,clear sky,29.04,114.56,Xiushui Hotel
258,Naudero,PK,87.8,haze,27.66,68.36,Arshad Ali Murtaza Memon
261,Mecca,SA,89.1,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
264,Baragua,CU,80.89,broken clouds,21.7,-78.63,Hotel Itabo
268,Assiniboia,CA,79.83,few clouds,49.63,-105.98,Canalta Hotel Assiniboia
276,Williamsburg,US,82.4,clear sky,37.27,-76.71,Comfort Suites Williamsburg Historic Area
280,Murgab,TM,80.6,broken clouds,37.5,61.97,
281,Martapura,ID,75.2,clear sky,-3.42,114.85,Montana Hotel Syariah
282,Laguna,US,95.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
283,Nola,IT,79.0,few clouds,40.92,14.53,Pamaran Hotel
284,Tecoanapa,MX,78.89,moderate rain,16.52,-98.75,Hotel Manglares
285,Ryotsu,JP,80.6,clear sky,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
286,Kusti,SD,79.43,overcast clouds,13.16,32.66,فندق الكوباري - Kobari Hotel
290,Austin,US,93.2,few clouds,30.27,-97.74,The Driskill - In the Unbound Collection by Hyatt
294,Praia,CV,82.4,few clouds,14.92,-23.51,LT Aparthotel
296,Gizo,SB,82.8,overcast clouds,-8.1,156.84,Imagination Island
299,Finschhafen,PG,80.53,overcast clouds,-6.6,147.87,Cossam Guest House
300,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
307,Ermoupolis,GR,77.0,clear sky,37.44,24.94,Ploes
308,Naliya,IN,80.98,moderate rain,23.27,68.83,Hotel Panchvati
315,Faanui,PF,77.02,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
319,Fukuma,JP,91.0,few clouds,33.77,130.47,Masago
