City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Norman Wells,CA,2020-08-12 23:47:02,65.28,-126.83,64.4,72,75,0.38
1,Lac Du Bonnet,CA,2020-08-12 23:47:02,50.25,-96.06,87.01,72,48,5.99
2,Rudbar,AF,2020-08-12 23:47:02,30.15,62.6,75.81,21,0,8.55
3,Raditsa-Krylovka,RU,2020-08-12 23:47:03,53.32,34.36,49.14,96,2,6.78
4,Rio Branco,BR,2020-08-12 23:47:03,-9.97,-67.81,86.0,55,29,2.24
5,Vilhena,BR,2020-08-12 23:47:03,-12.74,-60.15,78.8,50,20,5.82
6,Tanout,NE,2020-08-12 23:47:04,14.97,8.89,84.02,53,49,7.25
7,Camana,PE,2020-08-12 23:47:04,-16.62,-72.71,58.8,73,12,6.82
8,Kalaleh,IR,2020-08-12 23:47:04,37.38,55.49,75.2,73,26,4.7
9,Ramhormoz,IR,2020-08-12 23:47:04,31.28,49.6,86.43,18,0,4.21
10,Oltu,TR,2020-08-12 23:47:04,40.55,42.0,59.04,79,15,2.53
11,Narsaq,GL,2020-08-12 23:45:54,60.92,-46.05,50.0,76,100,4.7
12,Sarrat,PH,2020-08-12 23:47:05,18.16,120.65,77.0,94,20,3.36
13,Xiamen,CN,2020-08-12 23:47:05,24.48,118.08,82.4,88,75,2.24
14,Sepolno Krajenskie,PL,2020-08-12 23:47:05,53.45,17.53,59.0,78,48,5.01
15,Ayagoz,KZ,2020-08-12 23:47:05,47.97,80.44,61.48,33,19,9.66
16,Codrington,AU,2020-08-12 23:46:14,-38.27,141.97,54.66,87,25,15.73
17,Boende,CD,2020-08-12 23:47:06,-0.22,20.87,75.29,73,59,2.89
18,Meridian,US,2020-08-12 23:46:14,43.61,-116.39,84.0,21,1,11.41
19,Nisia Floresta,BR,2020-08-12 23:47:07,-6.09,-35.21,75.2,88,20,8.05
20,Camacupa,AO,2020-08-12 23:47:07,-12.02,17.48,55.8,37,0,4.07
21,Clearlake,US,2020-08-12 23:47:07,38.96,-122.63,96.01,18,0,1.01
